Date : 2022-06-20 14:59:09
Directory : c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots
Total : 184 files,  104852 codes, 3323 comments, 5732 blanks, all 113907 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_carousel.scss                                    | SCSS       |        142 |         30 |         26 |        198 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_close.scss                                       | SCSS       |         27 |          8 |          7 |         42 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_code.scss                                        | SCSS       |         36 |          6 |          7 |         49 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_custom-forms.scss                                | SCSS       |        388 |         45 |         75 |        508 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_dropdown.scss                                    | SCSS       |        152 |         16 |         24 |        192 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_forms.scss                                       | SCSS       |        206 |         71 |         54 |        331 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_functions.scss                                   | SCSS       |         54 |         19 |         14 |         87 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_grid.scss                                        | SCSS       |         28 |         15 |         10 |         53 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_images.scss                                      | SCSS       |         22 |         13 |          8 |         43 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_input-group.scss                                 | SCSS       |        129 |         32 |         33 |        194 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_jumbotron.scss                                   | SCSS       |         15 |          0 |          3 |         18 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_list-group.scss                                  | SCSS       |         94 |         25 |         31 |        150 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_media.scss                                       | SCSS       |          7 |          0 |          2 |          9 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_mixins.scss                                      | SCSS       |         32 |          9 |          7 |         48 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_modal.scss                                       | SCSS       |        166 |         34 |         38 |        238 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_nav.scss                                         | SCSS       |         78 |         19 |         24 |        121 |
